from,to,airline,start_time,end_time,period,type
上海,釜山,KE876,10:55,13:35,1234567,B739
上海,釜山,OZ312,11:40,14:10,13457,A320
上海,釜山,FM829,14:25,16:50,123456,B738
上海,旧金山,CA985,11:30,12:20,1234567,B772
上海,旧金山,CO858,13:45,9:35,1234567,B772
上海,纽约,MU587,11:30,14:15,1234567,A346
上海,纽约,CO086,15:55,18:20,1234567,B772
上海,罗马,MU787,12:20,17:45,24567,A330
上海,阿姆斯特丹,KL896,12:35,17:25,1234567,B744
上海,阿姆斯特丹,KL894,23:55,4:45,23457,B744
上海,洛杉矶,MU583,13:00,10:05,1234567,A346
上海,洛杉矶,CO878,20:25,16:51,1234567,B772
上海,洛杉矶,AA182,21:45,18:35,1234567,B772
上海,温哥华,MU581,13:30,9:10,1234567,A330
上海,温哥华,AC026,18:15,13:55,1234567,B763
上海,法兰克福,CA935,12:25,18:15,1356,A340
上海,法兰克福,LH729,13:50,19:05,1234567,B744
上海,法兰克福,MU219/97,23:55,5:10,1234567,A330
上海,科伦坡,UL887,14:05,20:45,12456,A330
上海,奥克兰,NZ288,14:15,6:50,12456,B772
上海,胡志明市,VN523,15:25,18:50,1234567,A321
上海,胡志明市,MU281,21:45,0:55,1234567,A320
上海,河内,VN531,15:25,18:20,1234567,A320
上海,檀香山,MU571,16:55,9:10,25,A343
上海,芝加哥,CO836,17:00,17:20,1234567,B772
上海,芝加哥,AA288,18:00,18:20,1234567,B772
上海,广岛,MU293,17:30,20:10,1234567,A320
上海,冈山,MU527,17:45,20:40,1234567,A319
上海,多伦多,AC088,17:45,19:20,1234567,B772
上海,悉尼,CA175,19:35,9:30,2467,A330
上海,悉尼,QF130,20:05,10:15,134567,A333
上海,悉尼,MU561,20:20,10:00,1234567,A333
上海,墨尔本,CA177,19:15,9:00,13456,A330
上海,墨尔本,MU737,20:15,10:00,1234567,B767
上海,新德里,MU563,21:00,2:05,2457,A320
上海,新德里,AI349,22:00,2:45,2467,B772
上海,普吉岛,FM831,21:10,1:10,12456,B738
上海,普吉岛,FM857,22:15,2:00,1234567,B738
上海,毛里求斯,MK681,21:25,7:20,2,A330
上海,孟买,AI349,22:00,6:15,2467,B772
上海,伊斯坦布尔,TK027,23:05,5:20,1234567,B773
上海,慕尼黑,LH727,23:45,5:15,1234567,A346
上海,茨城,9C8987,8:40,12:20,124567,A320
上海,高松,9C8889,8:45,11:40,47,A320
上海,佐贺,9C8577,8:45,11:40,36,A320
上海,岘港,FM863,22:30,1:10,47,B738
上海,新泻,MU295,9:25,13:00,36,A319
上海,金边,FM833,19:50,23:05,45,B738
上海,墨西哥城,AM099,10:45,13:00,47,B772
上海,长崎,MU519,9:40,12:10,15,A319
上海,塞班岛,3U8647,22:30,5:00,2367,A330
上海,斯里巴加湾,BI614,15:35,20:20,135,A320
上海,鹿儿岛,MU761,9:55,12:30,1356,A319
上海,阿布扎比,EY867,0:15,6:55,13457,A333
上海,小松,MU557,9:25,12:30,1457,A320
上海,班加罗尔,CA425,17:00,0:20,46,A319
上海,亚特兰大,DL296,8:40,15:00,1234567,A333
上海,木浦,MU5057,8:55,11:20,1346,A320
上海,牧之原,MU2019,9:30,12:50,15,A320
上海,波士顿,CO836,17:00,22:22,12345,B772
上海,巴厘岛,MU5029,21:00,3:00,36,A330
上海,暹粒,MU513,19:10,21:50,1234567,A320
上海,哥本哈根,SK998,14:15,18:35,13567,A343
上海,克利夫兰,CO086,15:55,22:40,1234567,B772
香港,达卡,KA192,17:30,19:50,357,A330
香港,达卡,KA196,19:05,0:55,124,A330
香港,达卡,BG079,19:20,21:00,15,D1C
香港,普吉岛,KA212,8:55,11:35,1234567,A320
香港,普吉岛,TG609,9:05,11:40,1234567,A330
香港,普吉岛,KA214,14:45,17:25,1356,A320
香港,普吉岛,FD3925,20:25,22:55,1234567,A320
香港,普吉岛,HX763,23:20,2:00,234567,B738
香港,曼谷,TG603,7:50,9:35,1234567,A330
香港,曼谷,CX713,9:10,11:05,1234567,B772
香港,曼谷,FD3713,10:45,12:40,1234567,A320
香港,曼谷,HX775,12:35,14:00,1234567,A330
香港,曼谷,MD1211,12:45,14:30,26,B744
香港,曼谷,TG601,12:45,14:30,1234567,B744
香港,曼谷,CX751,14:25,16:20,1234567,A333
香港,曼谷,TG629,15:00,16:45,1234567,B772
香港,曼谷,CX701,16:05,17:55,23456,A330
香港,曼谷,CX703,16:45,18:40,356,A333
香港,曼谷,PG806,16:55,20:45,1234567,A319
香港,曼谷,UL423,18:15,20:00,146,A340
香港,曼谷,TG639,18:55,20:40,1234567,A330
香港,曼谷,CX703,20:00,21:50,247,B773
香港,曼谷,TG607,20:45,22:30,1234567,B744
香港,曼谷,FD3719,20:50,22:50,1234567,A320
香港,曼谷,EK385,21:15,23:15,1234567,A380
香港,曼谷,RJ183,21:25,23:25,467,A330
香港,曼谷,CX709,21:40,23:35,246,A333
香港,曼谷,KQ861,21:50,23:40,467,B763
香港,曼谷,ET609,21:50,0:00,1246,B763
香港,曼谷,CX709,22:00,23:55,1357,A333
香港,曼谷,PK893,22:25,0:15,25,A310
香港,曼谷,HX767,23:40,1:35,1234567,A330
香港,苏黎世,LX139,23:15,6:10,1234567,A343
香港,伦敦,CX255,1:05,6:20,1234567,B744
香港,伦敦,QF029,7:55,13:30,124567,B744
香港,伦敦,NZ039,8:25,14:05,23567,B772
香港,伦敦,CX257,9:15,15:00,1234567,A343
香港,伦敦,CX253,14:55,20:10,1234567,B744
香港,伦敦,BA026,23:25,4:50,1234567,B744
